iter	RMSE
0	13.91612479
1	12.9977396
2	12.15373128
3	11.38100558
4	10.67214176
5	10.17179236
6	9.643601193
7	9.196561707
8	8.781650746
9	8.375667847
10	8.026783184
11	7.722315401
12	7.467486018
13	7.246090133
14	7.027967883
15	6.803423608
16	6.634159128
17	6.498842469
18	6.367657998
19	6.249308302
20	6.141655955
21	6.060320528
22	5.972711336
23	5.900771108
24	5.82061431
25	5.771004832
26	5.713665724
27	5.670671481
28	5.625528272
29	5.574831136
30	5.537616914
31	5.490762722
32	5.451631068
33	5.42883637
34	5.39560621
35	5.367677868
36	5.346585807
37	5.331878948
38	5.316340322
39	5.295108643
40	5.275111159
41	5.255005807
42	5.239813052
43	5.224805781
44	5.21219974
45	5.193712331
46	5.17469423
47	5.16006951
48	5.134880666
49	5.11696054
50	5.10151919
51	5.086930668
52	5.0749244
53	5.054610142
54	5.043368488
55	5.032596962
56	5.018297342
57	4.998150544
58	4.987498039
59	4.980388958
60	4.968348115
61	4.95837094
62	4.950374173
63	4.941133653
64	4.937082894
65	4.925838889
66	4.915580403
67	4.90406767
68	4.896165745
69	4.886826598
70	4.878306496
71	4.867608734
72	4.856330471
73	4.847218232
74	4.833565145
75	4.824492407
76	4.819147853
77	4.808431572
78	4.79771057
79	4.789229126
80	4.779988296
81	4.767972487
82	4.755136023
83	4.751135804
84	4.742256661
85	4.732875112
86	4.726785183
87	4.72445516
88	4.716368847
89	4.711291758
90	4.693835503
91	4.681387734
92	4.668536566
93	4.658043627
94	4.646609828
95	4.638203336
96	4.629446716
97	4.628271532
98	4.622577467
99	4.600031227
100	4.597103808
101	4.575154774
102	4.566333658
103	4.562064481
104	4.545926386
105	4.531441159
106	4.52461701
107	4.513337684
108	4.50341136
109	4.490351145
110	4.482455111
111	4.478121386
112	4.466335261
113	4.464833255
114	4.457173616
115	4.447243698
116	4.441066314
117	4.430497463
118	4.423948357
119	4.413865781
120	4.406482627
121	4.399516348
122	4.386550441
123	4.374315428
124	4.358959147
125	4.346327409
126	4.333707122
127	4.316090887
128	4.313686952
129	4.30764818
130	4.300456073
131	4.299508034
132	4.295030747
133	4.288404629
134	4.286794228
135	4.278679222
136	4.273338248
137	4.270027569
138	4.261145242
139	4.256095432
140	4.252070007
141	4.24872764
142	4.242577695
143	4.241813467
144	4.232828964
145	4.220347574
146	4.219894027
147	4.211484496
148	4.210645328
149	4.206927154
150	4.198234609
151	4.193497774
152	4.18031783
153	4.173761539
154	4.160805375
155	4.153520073
156	4.144648351
157	4.136351068
158	4.126237187
159	4.122456669
160	4.118696616
161	4.114467864
162	4.103973107
163	4.095882139
164	4.0942234
165	4.092711986
166	4.078163142
167	4.069145755
168	4.061535781
169	4.05866471
170	4.043848706
171	4.042708016
172	4.033211661
173	4.027874176
174	4.027113802
175	4.021458253
176	4.013545272
177	4.009703557
178	4.006511334
179	4.001593935
180	3.999245107
181	3.982153045
182	3.972837871
183	3.969434823
184	3.956814551
185	3.94146452
186	3.934005066
187	3.927949809
188	3.924566966
189	3.921187369
190	3.914999957
191	3.903164247
192	3.900718206
193	3.891825077
194	3.883517647
195	3.87797125
196	3.873727364
197	3.870320429
198	3.869258489
199	3.868566312
200	3.858701499
201	3.845682964
202	3.83802678
203	3.834743598
204	3.829454134
205	3.827743072
206	3.825355897
207	3.821405853
208	3.807512946
209	3.803800925
210	3.803155224
211	3.795060055
212	3.783212646
213	3.782274294
214	3.777743432
215	3.76951219
216	3.759294194
217	3.75789649
218	3.757148716
219	3.748786032
220	3.739815078
221	3.733637566
222	3.726972764
223	3.723210556
224	3.720674354
225	3.715690032
226	3.703347667
227	3.702955972
228	3.700275081
229	3.690822426
230	3.686632821
231	3.686094103
232	3.678249733
233	3.672808343
234	3.662725386
235	3.655611084
236	3.646460731
237	3.639713059
238	3.631496356
239	3.628497313
240	3.620773384
241	3.616344746
242	3.605796989
243	3.596329975
244	3.589432337
245	3.587857193
246	3.584490542
247	3.581059739
248	3.57357942
249	3.568643344
250	3.566606332
251	3.563331812
252	3.560370115
253	3.553531226
254	3.549640315
255	3.539028711
256	3.529771204
257	3.519033864
258	3.516348085
259	3.506732846
260	3.50642316
261	3.50164053
262	3.495896535
263	3.490722043
264	3.489775878
265	3.487026339
266	3.482098168
267	3.48142885
268	3.479012199
269	3.469649497
270	3.465720836
271	3.46491929
272	3.459654484
273	3.457812622
274	3.457421799
275	3.451739622
276	3.447544705
277	3.437824856
278	3.434326999
279	3.430458555
280	3.426410673
281	3.422937025
282	3.418631235
283	3.415685499
284	3.412186464
285	3.397343163
286	3.394925315
287	3.391838012
288	3.384839134
289	3.382823749
290	3.376415715
291	3.37609816
292	3.368683291
293	3.361560231
294	3.35535936
295	3.352865892
296	3.347642638
297	3.347128276
298	3.346678155
299	3.346408339
