iter	Passed	Remaining
0	30	9255
1	33	5036
2	36	3625
3	39	2913
4	69	4095
5	72	3536
6	75	3139
7	77	2838
8	80	2603
9	82	2393
10	84	2222
11	86	2078
12	88	1954
13	90	1850
14	92	1759
15	94	1677
16	101	1684
17	103	1623
18	105	1567
19	107	1510
20	109	1455
21	111	1407
22	112	1359
23	114	1316
24	115	1274
25	117	1238
26	119	1203
27	120	1170
28	121	1139
29	123	1111
30	124	1083
31	126	1058
32	127	1033
33	129	1011
34	130	989
35	132	973
36	134	953
37	135	934
38	136	915
39	138	897
40	139	880
41	140	864
42	142	849
43	144	843
44	146	829
45	147	815
46	149	802
47	150	790
48	151	778
49	153	766
50	154	754
51	155	743
52	157	733
53	158	723
54	160	714
55	161	704
56	163	695
57	164	685
58	165	676
59	167	668
60	168	659
61	169	650
62	171	643
63	172	635
64	173	626
65	174	618
66	175	611
67	177	604
68	178	597
69	179	590
70	180	583
71	182	577
72	183	570
73	184	564
74	186	558
75	187	552
76	188	547
77	190	541
78	191	535
79	192	529
80	193	524
81	195	518
82	196	513
83	197	508
84	198	503
85	200	498
86	201	493
87	202	488
88	204	484
89	205	479
90	206	474
91	208	470
92	209	465
93	210	461
94	211	456
95	212	452
96	213	447
97	215	443
98	216	439
99	217	434
100	218	430
101	219	426
102	220	422
103	222	418
104	223	414
105	224	410
106	225	407
107	226	403
108	228	399
109	229	396
110	230	392
111	231	388
112	232	385
113	234	381
114	235	378
115	236	375
116	237	371
117	238	368
118	240	365
119	241	362
120	242	358
121	243	355
122	245	352
123	246	349
124	247	346
125	248	343
126	249	340
127	251	337
128	252	334
129	253	331
130	254	328
131	255	325
132	257	322
133	258	320
134	259	317
135	260	314
136	262	311
137	263	309
138	264	306
139	265	303
140	266	301
141	268	298
142	269	295
143	270	293
144	271	290
145	272	287
146	274	285
147	275	282
148	276	280
149	277	277
150	279	275
151	280	272
152	281	270
153	282	267
154	283	265
155	285	263
156	286	260
157	287	258
158	288	256
159	289	253
160	291	251
161	292	248
162	293	246
163	294	244
164	295	242
165	297	239
166	298	237
167	299	235
168	300	233
169	301	230
170	303	228
171	304	226
172	305	224
173	306	222
174	308	220
175	309	218
176	310	215
177	311	213
178	313	211
179	314	209
180	315	207
181	316	205
182	317	203
183	319	201
184	320	199
185	321	197
186	322	195
187	324	193
188	325	191
189	326	189
190	327	186
191	328	184
192	330	182
193	331	180
194	332	179
195	333	177
196	334	175
197	336	173
198	337	171
199	338	169
200	339	167
201	341	165
202	342	163
203	343	161
204	344	159
205	345	157
206	347	155
207	348	154
208	349	152
209	350	150
210	352	148
211	353	146
212	354	144
213	355	142
214	356	141
215	357	139
216	359	137
217	360	135
218	361	133
219	362	131
220	364	130
221	365	128
222	366	126
223	367	124
224	369	123
225	370	121
226	371	119
227	372	117
228	373	115
229	375	114
230	376	112
231	377	110
232	378	108
233	379	107
234	381	105
235	382	103
236	383	101
237	384	100
238	385	98
239	387	96
240	388	95
241	389	93
242	390	91
243	392	90
244	394	88
245	395	86
246	396	85
247	398	83
248	399	81
249	400	80
250	402	78
251	403	76
252	404	75
253	406	73
254	407	71
255	408	70
256	410	68
257	411	66
258	412	65
259	413	63
260	415	62
261	416	60
262	417	58
263	418	57
264	420	55
265	421	53
266	422	52
267	423	50
268	425	49
269	426	47
270	428	45
271	429	44
272	430	42
273	432	41
274	433	39
275	437	38
276	441	36
277	445	35
278	448	33
279	452	32
280	456	30
281	459	29
282	463	27
283	467	26
284	470	24
285	474	23
286	477	21
287	481	20
288	485	18
289	489	16
290	492	15
291	496	13
292	499	11
293	503	10
294	507	8
295	511	6
296	514	5
297	517	3
298	519	1
299	522	0
